Name,Symbol,Price,Market Cap,24h Change (%),7d Change (%),Volume 24h,Circulating Supply
Aptos,APT,1.4753922768584513,1104746070.7197254,-6.24681115,-14.65114801,114397425.9031558,748781248.2467768
Midnight,NIGHT,0.06403258827908037,1063414768.230479,2.21402781,28.11298997,1151792818.4513605,16607399401.0
Arbitrum,ARB,0.18136760280635392,1037293258.8713213,-8.6795565,-12.68531008,157090405.97259927,5719286371.0
Ripple USD,RLUSD,0.9997401751958178,1027431061.0859458,-0.01400053,0.01792521,76436243.0564912,1027698082.539
OFFICIAL TRUMP,TRUMP,5.051642816264411,1010324467.3148516,-3.88685721,-10.89203248,180286653.94187367,199999189.186928
Algorand,ALGO,0.11027665408552496,974150592.7302457,-4.47394498,-15.43967454,42418150.46089041,8833697402.305515
Cosmos,ATOM,1.8981184654888796,917377357.8132718,-5.63030447,-13.48309899,78387058.73238006,483308800.0
Flare,FLR,0.01130602689126861,909832229.1302749,-4.50787774,-9.74441645,6087723.57114143,80473205829.08907
Quant,QNT,73.62755438435443,888886173.6630623,-5.38634829,-11.52735976,18588501.95016705,12072738.0
Filecoin,FIL,1.2055192319539751,876631488.309409,-7.66616022,-14.14052736,141154386.69767493,727181670.0
XDC Network,XDC,0.04670067651952133,865127973.3815584,-2.00012777,-6.24860971,26789429.34225657,18524955907.65
VeChain,VET,0.010008724232508289,860600565.2614629,-6.50806418,-15.98320234,30952993.32131427,85985041177.0
USDD,USDD,0.9995938849885231,831985111.0825076,-0.04218828,-0.05180282,8558106.98115605,832323130.0
GateToken,GT,10.09414336702811,810431270.8334068,-1.81669254,-2.77052501,3551909.33390524,80287275.63753751
MYX Finance,MYX,3.101416310417053,779923777.8995982,-13.41537284,9.23409974,36283319.29844599,251473423.7
Pump.fun,PUMP,0.0020404496235835855,722319166.7485893,-11.4618731,-26.47186497,120148614.7477084,354000000000.0
Sei,SEI,0.11052577319824479,717435074.4589927,-5.81979116,-21.84004335,85601970.37554713,6491111111.0
Bonk,BONK,7.969219818279679e-06,660465975.3722878,-6.82872663,-12.91977948,113503043.69737393,82877118517589.47
Render,RENDER,1.272209516986794,659748284.0468787,-7.82602642,-20.04346845,32923512.27900859,518584616.1640741
PancakeSwap,CAKE,1.8298090515034633,615242537.2388998,-4.65313493,-18.50543552,86719546.75558941,336233191.5089094
Nexo,NEXO,0.9146648797848023,591006906.6780292,0.50730246,-5.47771559,7814131.27932322,646145839.5746847
Pudgy Penguins,PENGU,0.009107356164867929,572492015.8566656,-8.26304804,-18.69160876,187939920.0225802,62860396090.04
Jupiter,JUP,0.1798150020766157,564070104.4261017,-6.24366853,-17.21925713,25560265.70080535,3136946850.44
Story,IP,1.5824184157707926,537449073.0162537,-8.07068878,-20.52371931,23724726.04281697,339637777.0
Optimism,OP,0.2687038407757136,522385120.7671475,-7.67366307,-13.48854989,93240614.57153827,1944092497.0
First Digital USD,FDUSD,0.9987038526497366,517751335.6469639,0.01394113,0.03383768,4930267104.394609,518423288.618822
Curve DAO Token,CRV,0.346312307254749,493466964.02490115,-3.7259614,-11.3136737,90955533.39923991,1424918934.9828808
TrueUSD,TUSD,0.9960645381737313,492568937.7683394,-0.03032799,-0.16738244,17344183.81139933,494515083.0
Dash,DASH,37.51642105682416,469696006.5413701,-6.27465269,-20.70334733,86986548.0772977,12519744.50947616
Artificial Superintelligence Alliance,FET,0.2013305046513415,465488987.4994073,-7.43135411,-16.94105955,72683422.70597392,2312063878.772509
Tezos,XTZ,0.4351550267235489,465206998.6593069,-4.99484183,-13.67516461,21029150.08419198,1069060380.991186
ether.fi,ETHFI,0.7060452837917779,460879780.0664284,-8.80864298,-12.06756397,41702567.52737397,652762352.0
AB,AB,0.004969567645618059,457219262.9035682,-0.79937187,5.91679762,22140559.82509724,92003831219.95
Injective,INJ,4.560734059535315,455940850.0879921,-6.34523091,-16.35657364,58505649.57722988,99970935.41
Lido DAO,LDO,0.5078935344455301,453837507.60461444,-8.08242729,-13.72789075,54644933.3952952,893568192.593889
Immutable,IMX,0.2263910978817312,450285674.5444135,-8.72004207,-18.25576045,24679957.75639069,1988972529.209814
Audiera,BEAT,2.7911542651387773,448026776.93175656,36.42500029,60.10154261,113079034.82686158,160516666.0
Stacks,STX,0.2449738498267428,444530965.8509154,-6.60418645,-17.29874199,10030859.86645337,1814605788.19049
Aerodrome Finance,AERO,0.4874559950198772,442604569.2686709,-7.13285653,-21.23831337,29546737.95978664,907988769.83885
SPX6900,SPX,0.47281478798559456,440187300.4975006,-10.1025652,-21.0431463,20638752.35780606,930993090.07
Virtuals Protocol,VIRTUAL,0.6689243598091128,438882194.78984356,-7.84303962,-17.6869793,103409577.68280791,656101378.8092347
pippin,PIPPIN,0.4318794339747026,431877815.7224635,8.77219239,25.894497,59204892.17132176,999996253.0
Morpho,MORPHO,1.1453153274528,429509144.3831749,-3.79377099,-4.24120723,36100636.74307681,375013879.6609055
Starknet,STRK,0.08577958209148731,425869832.39474833,-9.0298632,-19.42073433,62023515.86528816,4964699314.348971
Celestia,TIA,0.4705433603639312,402556020.92962086,-8.03742553,-19.64506509,49686428.00722181,855513125.545482
JUST,JST,0.03994004198734632,395406415.6747286,-3.82876247,4.07252196,37123341.65783729,9900000000.0
Merlin Chain,MERL,0.37001291127248315,389245260.32825196,-7.02689746,7.11552823,35496653.55550729,1051977508.0
The Graph,GRT,0.0362326534660024,386060350.8100284,-5.80834694,-17.53541649,22289885.98545118,10655039415.544714
Sun [New],SUN,0.02007668607280633,385243499.78649014,-1.62324911,-2.85508872,22364571.57892784,19188600070.222675
Trust Wallet Token,TWT,0.8910928338224342,383045624.86962366,-7.67366572,-9.28261827,20160907.40367375,429860515.46
Kaia,KAIA,0.06172152763391763,382415288.8927745,-10.32694403,-18.55833465,33339123.8943207,6195816979.141441
BitTorrent [New],BTT,3.843443351610783e-07,378987014.3795467,-2.43866856,-9.12519756,20105042.00096967,986061142857000.0
FLOKI,FLOKI,3.971521652180863e-05,378930381.1985852,-6.11758022,-15.94059882,47868502.0934998,9541188853660.283
IOTA,IOTA,0.08755545372387838,367020156.3541436,-5.59345271,-13.47354111,15643114.45170713,4191859453.0
DoubleZero,2Z,0.1028632959187616,357081445.5600676,-6.41786637,-18.60990338,12963794.61014139,3471417500.0
Telcoin,TEL,0.003912721799379798,356086526.56794184,-7.24794399,-24.25896571,2419497.37931035,91007371550.0
Ethereum Name Service,ENS,9.216619327927384,352006654.0433027,-7.17265366,-15.78625258,29998449.62364012,38192599.85889656
AINFT,NFT,3.489965279622208e-07,348993037.99694115,-0.41972536,-3.91997434,22582700.56415743,999990000000000.0
dogwifhat,WIF,0.3476865498375907,347283107.2238302,-7.13961664,-9.56578327,157492825.15919274,998839636.983516
Conflux,CFX,0.06714628267341922,346788184.2891736,-7.18691546,-6.9669043,21640399.66124418,5164666910.54
Bitcoin SV,BSV,17.352597319793944,346397590.79632276,-6.12579645,-13.41180572,17762473.75718967,19962290.625
EURC,EURC,1.174196583699412,339281200.16316366,0.10486754,0.48565921,37999554.6604427,288947527.9294611
Maple Finance,SYRUP,0.27926481620387567,321865898.6459911,4.76063566,1.79996895,67595435.71272194,1152547259.6985319
Basic Attention Token,BAT,0.21461933933163213,321009033.96059984,-2.85311063,-14.51776065,29906189.99292652,1495713456.9526057
LayerZero,ZRO,1.297375580509513,318475469.7863473,-8.67861967,-9.18994536,31448011.18403461,245476695.08414346
Pyth Network,PYTH,0.05536857482404746,318368353.86210537,-6.80491652,-15.78696889,19406314.05059455,5749982817.398307
Helium,HNT,1.6775007740615873,312554356.9657224,-4.01956147,-9.35287542,8372390.18108011,186321438.2959488
Gnosis,GNO,113.18396281724301,298719305.4220988,-2.43123166,-11.60909171,2747119.22037929,2639237.02604792
Pendle,PENDLE,1.8078628827914116,296854298.7435864,-9.98248678,-21.65866163,59692875.9737095,164201777.45185614
The Sandbox,SAND,0.11302455812312619,295365856.1989824,-6.31343181,-17.58909033,34088137.32351992,2613289192.2233224
Theta Network,THETA,0.29423220850274834,294232208.5027483,-9.4254961,-13.02559258,32331690.47389899,1000000000.0
Chiliz,CHZ,0.02876214773846328,292354521.6245829,-4.71239474,-13.21888511,43793279.13337085,10164558095.0
Fartcoin,FARTCOIN,0.2903669463109351,290366439.91098076,-15.80040884,-16.29235163,109479387.11866441,999998256.0
JasmyCoin,JASMY,0.005853166539603067,289409817.6610934,-2.41303405,-14.9301122,24036013.98748245,49444999677.16958
Vision,VSN,0.08120342793077429,286338818.36386466,-4.53811972,-12.15831415,40706344.7824285,3526191266.309198
Gala,GALA,0.00609118376950317,285479976.90334946,-7.09209405,-15.04039758,38762563.94821247,46867733384.21782
Flow,FLOW,0.17359885806119763,282897591.22286683,-6.32255193,-17.07388522,12904715.6525398,1629605139.0104125
ZKsync,ZK,0.026563867165177845,281847804.8901619,-7.10108323,-20.86106729,28227134.62697699,10610194785.932062
Decred,DCR,16.083086779095662,276284523.2508392,-7.70825063,-23.01871347,3266628.75555047,17178575.67055759
DeXe,DEXE,3.2352633143849325,270900366.2604392,-8.73838834,-14.7990883,3662068.41963592,83733637.70915848
Compound,COMP,25.171185234026787,250730815.48266378,-7.08458352,-17.66937517,32293706.33106425,9961025.40073171
Neo,NEO,3.5389062842998094,249630312.31306222,-4.97627252,-13.77124583,12618122.57462477,70538831.0
Decentraland,MANA,0.12535670492297288,246918738.33101565,-5.93938817,-14.84123961,28502012.80780009,1969729010.368757
Vaulta,A,0.15008998486633174,241724286.67251363,-6.76067112,-16.37857015,23237553.6986785,1610529089.5178
Raydium,RAY,0.8948606910116149,240342860.16561928,-7.65157829,-18.57476634,23789159.02266768,268581313.918168
Sonic,S,0.07815512828996209,225086769.47509083,-3.99494855,-15.52261085,32027617.73437186,2880000000.0
BUILDon,B,0.22272416223086336,222724162.23086336,-5.21063976,-5.6619569,7755903.39889095,1000000000.0
Plasma,XPL,0.11998932544169023,215980785.79504243,-7.62505358,-26.43868552,125289345.23603225,1800000000.0
Falcon Finance,FF,0.09189253033040037,215028520.97313687,-7.803959,-17.69471871,90136518.91084044,2340000000.0
Arweave,AR,3.2697221553429494,214665322.6330997,-9.01950601,-16.880532,31514738.82534468,65652466.0
1inch,1INCH,0.14921613496152913,209214366.95674595,-5.93974549,-11.60070115,32035645.88923283,1402089438.9918728
Humanity Protocol,H,0.09496851559820532,208930734.3160517,35.69923048,86.53850244,166652988.5935075,2200000000.0
Terra Classic,LUNC,3.7717818197898144e-05,206712787.35596558,-6.28887193,-39.17648471,66356666.32322329,5480507548750.124
Fluid,FLUID,2.6421875931671934,204108536.76517466,-6.63342164,-17.85201521,4108309.19465246,77249827.8672596
eCash,XEC,1.0215379487368175e-05,203922389.98062402,-5.20708604,-10.9801395,4968653.45831756,19962292172580.0
THORChain,RUNE,0.5748175001460979,201796768.62679446,-5.22332162,-13.4624717,39829180.34228272,351062326.0
OriginTrail,TRAC,0.40258208136579476,201290356.13313138,0.67652308,-20.53358466,4509045.78204889,499998299.602
ZORA,ZORA,0.04479603293389093,200238267.16969642,-14.51235199,-9.09139583,37958202.60804967,4469999999.0
Stable,STABLE,0.011159403052198619,196405493.7186957,-19.69148914,-36.55459407,393554120.1054917,17600000000.0
Walrus,WAL,0.12709087406548294,196275968.63488021,-7.57285477,-17.28524434,10461031.79576752,1544375000.0
Monad,MON,0.018016174411479374,195125679.4404086,-12.76300763,-31.89366637,132825867.03820126,10830583396.0
Golem,GLM,0.19501675665871934,195016756.65871933,-7.52349325,-12.9827939,9562608.38610709,1000000000.0
Lombard,BARD,0.86325719703474,194232869.3328165,9.70663482,3.56702511,41983955.88151829,225000000.0
MX Token,MX,2.070639084957881,191444734.1518627,-0.93104436,-2.15071553,20997091.08138019,92456834.0
EigenCloud,EIGEN,0.38021993219827716,187158202.43729597,-6.6813617,-16.71989277,68323114.04879206,492236694.0502653
Cheems (cheems.pet),CHEEMS,9.96845166528495e-07,186903519.16394758,-3.68809951,-9.35411315,2564321.50503661,187495034775398.0
Kamino Finance,KMNO,0.05323149670912338,185799807.7683023,-9.88486385,-13.37148356,11304157.32303964,3490411114.75
Zebec Network,ZBCN,0.002405734802574834,184581423.45029706,-5.73781429,-13.47344005,7752120.15574523,76725590556.67374
MultiversX,EGLD,6.342255310209958,183492396.1528496,-7.65078311,-17.37406852,11584302.68209284,28931726.51965901
Wormhole,W,0.0334549989409513,170870656.8625575,-6.99015511,-14.23034458,25317820.49431257,5107477575.0
WEMIX,WEMIX,0.3701176961877092,170170775.79718956,-3.35767226,-14.60359092,1612373.20553214,459774762.3255647
FTX Token,FTT,0.5024442235089004,165251445.05130598,-6.13226119,-18.67673812,5827798.11526038,328895103.813207
Convex Finance,CVX,1.6546240264011365,163002167.8289335,-4.40077514,-8.96017114,5512879.28379494,98513115.50423256
Onyxcoin,XCN,0.004446557835506977,161856218.323281,-8.72417762,-14.13814119,9840084.74300202,36400340288.12466
DeepBook Protocol,DEEP,0.0348367259938641,156969106.18208793,-6.45306497,-12.35983549,21760383.43118473,4505851273.44445
Prom,PROM,8.588013205727941,156731241.00453493,-4.02376141,-5.45350273,6312743.21410924,18250000.0
Reserve Rights,RSR,0.0025119623745693364,155653374.83554646,-6.09444777,-14.45077488,12685775.07915101,61964851230.0
0G,0G,0.7165756836727103,152805463.65595207,-11.4584326,-23.82344298,70579606.97022936,213243998.0
Amp,AMP,0.0018083892048366987,152414924.90088475,-5.24728209,-13.13773822,4824246.32776958,84282147058.40834
SafePal,SFP,0.30461941486150657,152309707.4307533,-5.59307876,-8.99168978,3295728.99786604,500000000.0
ApeCoin,APE,0.1976949512518405,148795404.5675489,-6.22114693,-12.39071339,26297637.79471191,752651515.0
Kite,KITE,0.08255726865834906,148603083.58502832,0.08262625,5.91926926,31286335.00290446,1800000000.0
Livepeer,LPT,3.085979610305178,147382978.25413612,-5.44187842,-15.20207592,13642061.89825474,47758895.6718872
Aethir,ATH,0.008910790488970852,140131754.80721253,-6.77671407,-29.99955404,13163905.12223309,15726074469.0
Axie Infinity,AXS,0.8272201416085794,138591419.0702735,-7.99492533,-19.67272529,25867541.13692936,167538738.6007963
Synthetix,SNX,0.4006617096823994,137613761.7207244,-6.74619493,-16.65651101,23668619.43839975,343466216.99839866
SuperVerse,SUPER,0.2159157289322759,137573432.9312121,-6.61874337,-19.69897635,11972000.47862657,637162626.4169173
Brett (Based),BRETT,0.013792554412653436,136687474.72029594,-7.88692664,-17.88218764,18522427.5632917,9910236395.0
Beam,BEAM,0.002761391566891829,136595006.75735125,-8.13934193,-13.77901944,7851489.64847284,49466004168.0
dYdX,DYDX,0.16695001738911092,135783338.5290581,-7.52193034,-13.09874926,10833609.23072647,813317306.8954371
Jito,JTO,0.3264962049998146,135046567.17259547,-9.51804376,-18.34199752,19111150.88736652,413623696.4
Core,CORE,0.13160004385007765,134279738.76189974,-12.47272392,17.13975313,15681408.65181004,1020362416.5572078
Qtum,QTUM,1.255901603016048,133031084.36042598,-6.25278387,-12.7443423,23081438.08534888,105924766.75
Toshi,TOSHI,0.00031187388861851726,131197282.42424957,-11.76227409,-20.2729667,15575416.41800167,420674148148.16223
Horizen,ZEN,7.365991310719503,129962962.19995973,-8.3949381,-18.71018928,29579730.7747528,17643648.58954267
Four,FORM,0.33783738992069007,129009036.77422109,-5.92843154,10.08993097,76985575.73029973,381867255.144574
AIOZ Network,AIOZ,0.10256873121252438,125578039.72348854,-7.96690713,-12.12873789,5981950.14534089,1224330634.092455
Theta Fuel,TFUEL,0.017020278389970788,121953237.67451766,-11.46638718,-19.23659942,3711322.69396076,7165172912.0
Creditcoin,CTC,0.2351604052344475,120051228.41331884,-7.06564647,-20.28002155,7798595.06738501,510507831.0
Turbo,TURBO,0.0017209155257370094,118743171.27585365,-6.65939304,-14.42547426,20156325.00185448,69000000000.0
KAITO,KAITO,0.4909995958847548,118521846.95006993,-9.04171329,-20.99856092,14016842.23075074,241388889.0
Kusama,KSM,6.65866934567344,116438190.70008858,-8.28709357,-14.20848744,9915351.15928701,17486705.62471252
Gas,GAS,1.77900057933575,115621394.50138083,-5.01862198,-14.60463128,6098520.80605906,64992331.0
Nervos Network,CKB,0.0022812288135412653,109161904.01086304,-6.68873393,-11.65495677,4677735.54957826,47852237953.0204
Ravencoin,RVN,0.0068329719826107395,108800984.85865265,-5.6854964,-11.15499521,6284921.71068762,15922937359.547318
yearn.finance,YFI,3087.4859437359178,108352077.92759791,-6.92158234,-15.39262194,15192463.27106997,35093.95019188
Rain,RAIN,0.007510494758175481,2549875761.106343,-1.87982634,-1.66305626,25945329.0165675,339508360395.39185
Falcon USD,USDf,0.9984344201833414,2108114881.2580223,-0.00396146,-0.03467884,2070463.31394067,2111420478.54371
Jupiter Perps LP,JLP,4.449388363079593,1542658458.4535446,-1.92142492,-4.13240503,52639011.28411267,346712476.540441
Ondo US Dollar Yield,USDY,1.1148884430947057,694377286.4128448,0.09352232,-0.0227565,1704854.31834665,622822212.1357661
Beldex,BDX,0.09152166385939,684212958.941919,0.45042006,5.63341744,10722886.9730051,7475967220.101185
Usual USD,USD0,0.9978344409185221,563476261.9179177,0.04044755,-0.03968717,1465048.11116295,564699151.2933038
USDai,USDAI,1.0001293838575838,501415992.74268585,0.03788423,0.03286959,0.04805581,501351126.0
GHO,GHO,0.9992858964255185,477656760.11332816,-0.03943539,-0.05082615,818531.85935931,477998100.265323
Legacy Frax Dollar,FRAX,0.9921936876425317,278165009.78262603,0.01240845,0.11492504,293050.52345738,280353537.0634645
Zeebu,ZBU,0.6480283512642991,268042668.53118947,-2.05860691,-25.95475885,263029.3203687,413627996.38046694
SwissBorg,BORG,0.2695607946845337,264776749.2350505,-6.90982031,-10.06243149,899126.79242676,982252443.442
Ape and Pepe,APEPE,1.096768737364915e-06,230321434.84663215,-8.40689428,-3.71254944,18087265.61058575,210000000000000.0
Loaded Lions,LION,0.006655194838016485,205280953.4869465,-2.61676308,-6.57926162,1056017.12943772,30845220686.0
WeFi,WFI,2.5959118661099905,197184876.63535258,-0.62390645,9.2157386,2655204.17865322,75959773.21481134
AUSD,AUSD,0.9996439064325914,193255640.3079074,-0.00866099,-0.03058411,57155213.78847589,193324481.912339
Ultima,ULTIMA,5057.0753310711925,189180131.06004223,-5.50880185,-19.61881971,19299472.79935086,37409.0
Fasttoken,FTN,0.41327357982346363,180295357.2167105,-70.58570286,-69.86927617,19006606.63501361,436261513.0
Undeads Games,UDS,2.300449129760035,176042131.96212488,0.49825721,-9.65283692,30717944.24836073,76525114.02435933
Ailey,ALE,0.4065547160493292,174013888.3590306,-0.87776779,-4.83248623,323814.56172444,428020833.3333333
Aster USDF,USDF,0.9979554141891657,169906381.72060364,-0.1011693,-0.0437525,336534.9337106,170254481.61795065
48 Club Token,KOGE,47.977969299938934,162560319.5957203,-0.01972054,-0.07692975,163973686.38672322,3388228.43
StandX DUSD,DUSD,0.9986402440783653,161589006.51905203,-0.02364316,-0.1139836,12372580.56463993,161809027.3021
Ribbita by Virtuals,TIBBIR,0.15839623760623422,158396237.60623422,-26.61101635,-7.66946551,10990446.4033166,1000000000.0
Concordium,CCD,0.013333008156058365,157067016.80809402,-3.543796,-4.12821337,493461.78038245,11780313562.37674
GUSD,GUSD,0.9988197958071601,149263630.285422,-0.0072843,-0.10289209,742626.5668408,149440000.0
SoSoValue,SOSO,0.5377714894573162,147761630.82860687,-3.39374017,-7.28972533,11369183.72036388,274766576.0
Zano,ZANO,9.657478388853033,144894055.16895708,-5.15258106,-17.45001797,1634778.19624863,15003301.0
Alchemist AI,ALCH,0.16400229160955695,139401947.8681234,-6.46991682,-12.47022266,47105866.62116943,850000000.0
Quantum Resistant Ledger,QRL,1.9763332631047976,134266488.87220538,5.76123304,-2.42618063,131214.77703814,67937170.0
币安人生,币安人生,0.1329024775853724,132902477.5853724,4.5448986,15.55719839,19660980.03781243,1000000000.0
BitMart Token,BMX,0.40158241162894587,130225793.38571921,0.04727298,-12.49784155,6105660.43122853,324281615.96391135
Fellaz,FLZ,0.27217476721637585,128432451.94974132,0.56750397,2.11610081,4349604.30214204,471874940.0
Shuffle,SHFL,0.3484390306362605,124897794.44506909,-5.87190842,-0.15707399,424168.93153899,358449494.64186555
GoМining,GOMINING,0.30258950837110943,122948932.54118519,-4.04055574,-12.0631143,12018674.50454352,406322523.21979076
Dohrnii,DHN,7.047044203969972,120328575.75864384,1.07947047,-10.23510269,273748.81940204,17075042.0
SLT,SLT,13.720408454387217,116623471.86229135,-1.78668927,-3.96000781,580.72300325,8500000.0
Rollbit Coin,RLB,0.06162604402305037,111738015.87956075,-0.83410807,0.62807814,301159.08293042,1813162237.6696239
YZY MONEY,YZY,0.3594851857291334,107845429.58444378,1.63391961,-0.92115324,12978937.21110247,299999649.12519
Keeta,KTA,0.23886350808008153,107512608.23600587,-3.80256431,-0.69753712,5035863.20864611,450100599.7113679
Ronin,RON,0.14745437972543693,106327408.14394899,-5.34014846,-13.49711625,3068741.64527278,721086808.9637812
Akash Network,AKT,0.3700591752302006,105222866.46672088,-8.0380164,-13.22985104,3185274.67713286,284340650.117013
ViciCoin,VCNT,17.17349075157393,104571304.77780952,-0.39913644,0.30796202,175894.22540288,6089111.77642936
0x Protocol,ZRX,0.12231070713110788,103767983.53557557,-4.94281052,-12.03182013,23356458.34685533,848396562.8973439
Unibase,UB,0.04147135170986172,103678379.2746543,-1.42833611,-5.16674488,16129620.81340631,2500000000.0
Dog (Bitcoin),DOG,0.0010277578038454653,102775780.38454653,-6.83371346,-2.66939714,3862764.31314592,100000000000.0
Meteora,MET,0.21128680550853565,102465294.18337296,-11.48399209,-22.50763556,31754873.87839019,484958319.743414
